;?????: 0;????? : 1
00:00:00,021,500;0,3589;2,5879
00:00:00,021,600;0,3687;2,6392
00:00:00,021,700;0,3882;2,7075
00:00:00,021,800;0,3979;2,7783
00:00:00,021,900;0,4077;2,8467
00:00:00,022,000;0,4297;2,8882
00:00:00,022,100;0,4297;2,9565
00:00:00,022,200;0,4492;2,9956
00:00:00,022,300;0,459;3,0566
00:00:00,022,400;0,4492;3,125
00:00:00,022,500;0,4492;3,147
00:00:00,022,600;0,4688;3,2251
00:00:00,022,700;0,4785;3,2666
00:00:00,022,800;0,4688;3,335
00:00:00,022,900;0,4883;3,374
00:00:00,023,000;0,4883;3,4448
00:00:00,023,100;0,4883;3,4839
00:00:00,023,200;0,4883;3,5254
00:00:00,023,300;0,4688;3,584
00:00:00,023,400;0,4688;3,5938
00:00:00,023,500;0,498;3,6548
00:00:00,023,600;0,498;3,6841
00:00:00,023,700;0,498;3,7134
00:00:00,023,800;0,5078;3,7329
00:00:00,023,900;0,5078;3,7622
00:00:00,024,000;0,5176;3,7524
00:00:00,024,100;0,4785;3,772
00:00:00,024,200;0,5176;3,7622
00:00:00,024,300;0,4688;3,772
00:00:00,024,400;0,5078;3,772
00:00:00,024,500;0,4785;3,7329
00:00:00,024,600;0,4785;3,7036
00:00:00,024,700;0,4785;3,6035
00:00:00,024,800;0,498;3,5352
00:00:00,024,900;0,498;3,4741
00:00:00,025,000;0,4785;3,4058
00:00:00,025,100;0,4785;3,3252
00:00:00,025,200;0,459;3,2349
00:00:00,025,300;0,459;3,1763
00:00:00,025,400;0,459;3,0664
00:00:00,025,500;0,4395;2,9761
00:00:00,025,600;0,4492;2,8784
00:00:00,025,700;0,4175;2,7881
00:00:00,025,800;0,4395;2,7075
00:00:00,025,900;0,4175;2,5879
00:00:00,026,000;0,4175;2,5195
00:00:00,026,100;0,4175;2,4194
00:00:00,026,200;0,3979;2,2998
00:00:00,026,300;0,3979;2,1997
00:00:00,026,400;0,4077;2,1118
00:00:00,026,500;0,4175;2,0117
00:00:00,026,600;0,3882;1,8921
00:00:00,026,700;0,3979;1,7822
00:00:00,026,800;0,3882;1,6528
00:00:00,026,900;0,3784;1,5527
00:00:00,027,000;0,3882;1,4331
00:00:00,027,100;0,3784;1,3135
00:00:00,027,200;0,3784;1,1938
00:00:00,027,300;0,3784;1,0645
00:00:00,027,400;0,3882;0,957
00:00:00,027,500;0,3589;0,8374
00:00:00,027,600;0,4077;0,7275
00:00:00,027,700;0,3687;0,5981
00:00:00,027,800;0,3979;0,4785
00:00:00,027,900;0,3979;0,3491
00:00:00,028,000;0,4175;0,2295
00:00:00,028,100;0,4077;0,1099
00:00:00,028,200;0,4175;-0,0195
00:00:00,028,300;0,3979;-0,1294
00:00:00,028,400;0,4297;-0,249
00:00:00,028,500;0,4297;-0,3687
00:00:00,028,600;0,4175;-0,4761
00:00:00,028,700;0,4297;-0,5957
00:00:00,028,800;0,4297;-0,6763
00:00:00,028,900;0,4175;-0,8252
00:00:00,029,000;0,4297;-0,9058
00:00:00,029,100;0,3003;-1,0156
00:00:00,029,200;0,2295;-1,123
00:00:00,029,300;0,0806;-1,2134
00:00:00,029,400;0,061;-1,3232
00:00:00,029,500;-0,0098;-1,4136
00:00:00,029,600;0;-1,4722
00:00:00,029,700;-0,0293;-1,5527
00:00:00,029,800;-0,0391;-1,6113
00:00:00,029,900;-0,0684;-1,6821
00:00:00,030,000;-0,1001;-1,731
00:00:00,030,100;-0,1196;-1,8018
00:00:00,030,200;-0,1294;-1,8604
00:00:00,030,300;-0,1587;-1,9312
00:00:00,030,400;-0,188;-1,9702
00:00:00,030,500;-0,2173;-2,041
00:00:00,030,600;-0,2295;-2,1094
00:00:00,030,700;-0,249;-2,1606
00:00:00,030,800;-0,249;-2,2192
00:00:00,030,900;-0,2783;-2,29
00:00:00,031,000;-0,3076;-2,3291
00:00:00,031,100;-0,3076;-2,3779
00:00:00,031,200;-0,3174;-2,4487
00:00:00,031,300;-0,3467;-2,4976
00:00:00,031,400;-0,3687;-2,5684
00:00:00,031,500;-0,3784;-2,627
00:00:00,031,600;-0,4175;-2,688
00:00:00,031,700;-0,3882;-2,7368
00:00:00,031,800;-0,4175;-2,7954
00:00:00,031,900;-0,4272;-2,8564
00:00:00,032,000;-0,4175;-2,8955
00:00:00,032,100;-0,4663;-2,9468
00:00:00,032,200;-0,437;-2,9956
00:00:00,032,300;-0,4565;-3,0542
00:00:00,032,400;-0,4565;-3,1055
00:00:00,032,500;-0,4468;-3,1543
00:00:00,032,600;-0,4468;-3,2153
00:00:00,032,700;-0,4272;-3,2642
00:00:00,032,800;-0,437;-3,3252
00:00:00,032,900;-0,4175;-3,3838
00:00:00,033,000;-0,4175;-3,4229
00:00:00,033,100;-0,4175;-3,4839
00:00:00,033,200;-0,4077;-3,5327
00:00:00,033,300;-0,4175;-3,5718
00:00:00,033,400;-0,4175;-3,6133
00:00:00,033,500;-0,3979;-3,6523
00:00:00,033,600;-0,3784;-3,6816
00:00:00,033,700;-0,3589;-3,7231
00:00:00,033,800;-0,3784;-3,7231
00:00:00,033,900;-0,3687;-3,772
00:00:00,034,000;-0,3784;-3,7427
00:00:00,034,100;-0,3589;-3,772
00:00:00,034,200;-0,3687;-3,7817
00:00:00,034,300;-0,3687;-3,7817
00:00:00,034,400;-0,3467;-3,7622
00:00:00,034,500;-0,3369;-3,7427
00:00:00,034,600;-0,3467;-3,7329
00:00:00,034,700;-0,3467;-3,6328
00:00:00,034,800;-0,3369;-3,5522
00:00:00,034,900;-0,3467;-3,4741
00:00:00,035,000;-0,3271;-3,4131
00:00:00,035,100;-0,3369;-3,335
00:00:00,035,200;-0,3369;-3,2544
00:00:00,035,300;-0,3589;-3,1836
00:00:00,035,400;-0,3467;-3,0762
00:00:00,035,500;-0,3589;-3,0054
00:00:00,035,600;-0,3687;-2,8857
00:00:00,035,700;-0,3589;-2,8076
00:00:00,035,800;-0,3882;-2,7075
00:00:00,035,900;-0,3979;-2,6465
00:00:00,036,000;-0,3882;-2,5171
00:00:00,036,100;-0,4077;-2,439
00:00:00,036,200;-0,3882;-2,3389
00:00:00,036,300;-0,3882;-2,2192
00:00:00,036,400;-0,3979;-2,1191
00:00:00,036,500;-0,3784;-2,019
00:00:00,036,600;-0,3979;-1,9116
00:00:00,036,700;-0,3784;-1,8115
00:00:00,036,800;-0,3784;-1,6821
00:00:00,036,900;-0,4077;-1,582
00:00:00,037,000;-0,4077;-1,4429
00:00:00,037,100;-0,4175;-1,333
00:00:00,037,200;-0,3784;-1,2231
00:00:00,037,300;-0,4077;-1,084
00:00:00,037,400;-0,3687;-0,9839
00:00:00,037,500;-0,3882;-0,8545
00:00:00,037,600;-0,3589;-0,7349
00:00:00,037,700;-0,3589;-0,6055
00:00:00,037,800;-0,3369;-0,4883
00:00:00,037,900;-0,3467;-0,3784
00:00:00,038,000;-0,3589;-0,249
00:00:00,038,100;-0,3174;-0,1294
00:00:00,038,200;-0,3174;0
00:00:00,038,300;-0,3369;0,1099
00:00:00,038,400;-0,2979;0,2588
00:00:00,038,500;-0,2881;0,3491
00:00:00,038,600;-0,3076;0,459
00:00:00,038,700;-0,2881;0,5688
00:00:00,038,800;-0,2881;0,6885
00:00:00,038,900;-0,2686;0,7861
00:00:00,039,000;-0,2588;0,896
00:00:00,039,100;-0,1294;1,0156
00:00:00,039,200;-0,0879;1,1157
00:00:00,039,300;0,061;1,1938
00:00:00,039,400;0,0903;1,2744
00:00:00,039,500;0,1294;1,3745
00:00:00,039,600;0,1709;1,4429
00:00:00,039,700;0,1807;1,5137
00:00:00,039,800;0,2197;1,5942
00:00:00,039,900;0,21;1,6626
00:00:00,040,000;0,2588;1,7114
00:00:00,040,100;0,249;1,7725
00:00:00,040,200;0,2686;1,8408
00:00:00,040,300;0,2783;1,9214
00:00:00,040,400;0,3101;1,9922
00:00:00,040,500;0,3101;2,0313
00:00:00,040,600;0,3003;2,0898
00:00:00,040,700;0,3296;2,1411
00:00:00,040,800;0,3296;2,2095
00:00:00,040,900;0,3198;2,251
00:00:00,041,000;0,3296;2,3193
00:00:00,041,100;0,3491;2,3706
00:00:00,041,200;0,3491;2,4194
00:00:00,041,300;0,3491;2,478
00:00:00,041,400;0,3687;2,5195
00:00:00,041,500;0,3687;2,5781
00:00:00,041,600;0,3784;2,6489
00:00:00,041,700;0,3979;2,6978
00:00:00,041,800;0,3882;2,7881
00:00:00,041,900;0,4077;2,8467
00:00:00,042,000;0,3979;2,9077
00:00:00,042,100;0,4175;2,9468
00:00:00,042,200;0,4492;3,0078
00:00:00,042,300;0,4395;3,0469
00:00:00,042,400;0,4688;3,1152
00:00:00,042,500;0,459;3,1763
00:00:00,042,600;0,4688;3,2251
00:00:00,042,700;0,4688;3,2861
00:00:00,042,800;0,4785;3,3447
00:00:00,042,900;0,4688;3,3838
00:00:00,043,000;0,4688;3,4351
00:00:00,043,100;0,4688;3,4839
00:00:00,043,200;0,4883;3,5132
00:00:00,043,300;0,4785;3,584
00:00:00,043,400;0,5078;3,6328
00:00:00,043,500;0,4883;3,6646
00:00:00,043,600;0,498;3,7036
00:00:00,043,700;0,498;3,7036
00:00:00,043,800;0,5078;3,7524
00:00:00,043,900;0,4688;3,7622
00:00:00,044,000;0,5078;3,772
00:00:00,044,100;0,498;3,772
00:00:00,044,200;0,498;3,7842
00:00:00,044,300;0,4883;3,7842
00:00:00,044,400;0,4785;3,7622
00:00:00,044,500;0,498;3,7427
00:00:00,044,600;0,4785;3,7134
00:00:00,044,700;0,4785;3,6133
00:00:00,044,800;0,4883;3,5449
00:00:00,044,900;0,4883;3,4839
00:00:00,045,000;0,5078;3,4058
00:00:00,045,100;0,4688;3,3252
00:00:00,045,200;0,4688;3,2764
00:00:00,045,300;0,4492;3,1665
00:00:00,045,400;0,4492;3,0762
00:00:00,045,500;0,4395;2,9761
00:00:00,045,600;0,4492;2,8784
00:00:00,045,700;0,4297;2,8076
00:00:00,045,800;0,4395;2,6978
00:00:00,045,900;0,4077;2,5977
00:00:00,046,000;0,4077;2,5098
00:00:00,046,100;0,4175;2,4194
00:00:00,046,200;0,4175;2,3096
00:00:00,046,300;0,4175;2,2095
00:00:00,046,400;0,4077;2,1118
00:00:00,046,500;0,3882;2,002
00:00:00,046,600;0,4175;1,8921
00:00:00,046,700;0,3979;1,792
00:00:00,046,800;0,3979;1,6626
00:00:00,046,900;0,3882;1,543
00:00:00,047,000;0,3979;1,4526
00:00:00,047,100;0,3687;1,3037
00:00:00,047,200;0,3882;1,1938
00:00:00,047,300;0,4077;1,0864
00:00:00,047,400;0,3882;0,9473
00:00:00,047,500;0,4077;0,8276
00:00:00,047,600;0,3979;0,7178
00:00:00,047,700;0,3784;0,5981
00:00:00,047,800;0,3882;0,4785
00:00:00,047,900;0,3979;0,3491
00:00:00,048,000;0,4077;0,2393
00:00:00,048,100;0,3979;0,1196
00:00:00,048,200;0,4297;-0,0098
00:00:00,048,300;0,4077;-0,1196
00:00:00,048,400;0,3979;-0,249
00:00:00,048,500;0,4395;-0,3687
00:00:00,048,600;0,4297;-0,4565
00:00:00,048,700;0,4492;-0,5859
00:00:00,048,800;0,4175;-0,686
00:00:00,048,900;0,4297;-0,8057
00:00:00,049,000;0,4175;-0,9058
00:00:00,049,100;0,3101;-1,0156
00:00:00,049,200;0,249;-1,1133
00:00:00,049,300;0,0903;-1,2231
00:00:00,049,400;0,0513;-1,3037
00:00:00,049,500;0,0195;-1,4136
00:00:00,049,600;0;-1,4917
00:00:00,049,700;-0,0488;-1,5527
00:00:00,049,800;-0,0586;-1,6016
00:00:00,049,900;-0,0684;-1,6919
00:00:00,050,000;-0,0879;-1,7212
00:00:00,050,100;-0,1196;-1,792
00:00:00,050,200;-0,1294;-1,8408
00:00:00,050,300;-0,1782;-1,9312
00:00:00,050,400;-0,1587;-1,98
00:00:00,050,500;-0,188;-2,041
