  28.110        123.00	    15.684
  28.120        108.00	    14.697
  28.130        123.00	    15.684
  28.140        115.50	    15.199
  28.150        120.00	    15.492
  28.160        112.00	    14.967
  28.170        119.50	    15.460
  28.180         99.00	    14.071
  28.190        114.00	    15.100
  28.200        120.50	    15.524
  28.210        141.00	    16.793
  28.220        139.00	    16.673
  28.230        154.00	    17.550
  28.240        137.50	    16.583
  28.250        137.00	    16.553
  28.260        137.00	    16.553
  28.270        128.00	    16.000
  28.280        124.00	    15.748
  28.290        119.00	    15.427
  28.300        134.00	    16.371
  28.310        117.00	    15.297
  28.320        131.00	    16.186
  28.330        121.50	    15.588
  28.340        120.50	    15.524
  28.350        149.00	    17.263
  28.360        131.00	    16.186
  28.370        130.00	    16.125
  28.380        135.50	    16.462
  28.390        129.50	    16.093
  28.400        123.50	    15.716
  28.410        117.00	    15.297
  28.420        115.50	    15.199
  28.430        109.00	    14.765
  28.440        118.50	    15.395
  28.450        128.50	    16.031
  28.460        135.50	    16.462
  28.470        112.00	    14.967
  28.480        106.00	    14.560
  28.490        122.00	    15.620
  28.500        108.50	    14.731
  28.510        107.00	    14.629
  28.520        106.00	    14.560
  28.530        118.50	    15.395
  28.540        109.00	    14.765
  28.550        130.00	    16.125
  28.560        105.00	    14.491
  28.570        119.50	    15.460
  28.580        116.50	    15.264
  28.590        126.00	    15.875
  28.600        116.50	    15.264
  28.610        128.50	    16.031
  28.620        129.00	    16.062
  28.630        134.00	    16.371
  28.640        128.00	    16.000
  28.650        118.50	    15.395
  28.660        115.00	    15.166
  28.670        129.50	    16.093
  28.680        124.00	    15.748
  28.690        111.50	    14.933
  28.700        117.50	    15.330
  28.710        112.50	    15.000
  28.720        110.00	    14.832
  28.730        117.00	    15.297
  28.740        113.50	    15.067
  28.750        100.50	    14.177
  28.760        105.00	    14.491
  28.770        114.50	    15.133
  28.780        104.00	    14.422
  28.790        109.00	    14.765
  28.800        113.00	    15.033
  28.810        103.00	    14.353
  28.820        106.00	    14.560
  28.830         99.50	    14.107
  28.840        111.50	    14.933
  28.850        122.00	    15.620
  28.860        111.50	    14.933
  28.870        113.50	    15.067
  28.880        113.00	    15.033
  28.890        107.00	    14.629
  28.900        108.50	    14.731
  28.910        108.50	    14.731
  28.920        115.00	    15.166
  28.930        114.00	    15.100
  28.940        112.00	    14.967
  28.950        115.00	    15.166
  28.960        107.50	    14.663
  28.970        117.50	    15.330
  28.980        109.00	    14.765
  28.990        117.50	    15.330
  29.000        110.00	    14.832
  29.010        119.00	    15.427
  29.020        116.50	    15.264
  29.030        121.50	    15.588
  29.040        128.00	    16.000
  29.050        126.00	    15.875
  29.060        151.00	    17.378
  29.070        153.50	    17.521
  29.080        172.00	    18.547
  29.090        181.50	    19.053
  29.100        175.50	    18.735
  29.110        165.00	    18.166
  29.120        157.00	    17.720
  29.130        158.50	    17.804
  29.140        142.00	    16.852
  29.150        115.00	    15.166
  29.160        126.00	    15.875
  29.170        120.00	    15.492
  29.180        118.50	    15.395
  29.190        115.50	    15.199
  29.200        129.00	    16.062
  29.210        124.50	    15.780
  29.220        123.00	    15.684
  29.230        119.00	    15.427
  29.240        107.00	    14.629
  29.250        114.00	    15.100
  29.260        107.50	    14.663
  29.270        107.00	    14.629
  29.280        103.50	    14.387
