25.10.2018   N1108
Образец: "22_Ti"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2615    67,1    1309    33,5
   2620     0,0    1311     0,0
   2625    33,5    1314     0,0
   2630     0,0    1316     0,0
   2635    67,1    1319    33,5
   2640    33,5    1321    33,5
   2645    33,5    1324     0,0
   2650    33,5    1326     0,0
   2655    33,5    1328     0,0
   2660    33,5    1331     0,0
   2665    67,1    1333    33,5
   2670     134    1336     0,0
   2675     0,0    1338     0,0
   2680    33,5    1341     0,0
   2685    67,1    1343     0,0
   2690     0,0    1346     0,0
   2695     0,0    1348     0,0
   2700    67,1    1351     0,0
   2705     134    1353     0,0
   2710    67,1    1356     0,0
   2715    67,1    1358    33,5
   2720     134    1361     0,0
   2725     101    1363    33,5
   2730     436    1366    67,1
   2735     570    1368     0,0
   2740    4026    1371    67,1
   2745   15432    1373    33,5
   2750   21672    1376    67,1
   2755    7246    1378    33,5
   2760    1174    1381     0,0
   2765     101    1383    67,1
   2770    33,5    1386    33,5
   2775    67,1    1388     0,0
   2780    67,1    1391    33,5
   2785    67,1    1393     0,0
   2790     0,0    1396     0,0
   2795    67,1    1398     0,0
   2800     101    1401     0,0
   2805    33,5    1403     0,0
   2810    67,1    1406     0,0
   2815    67,1    1408     0,0
   2820    33,5    1411     0,0
   2825    33,5    1413     0,0
   2830     0,0    1416     0,0
   2835     0,0    1418     0,0
   2840     0,0    1420     0,0
   2845    33,5    1423     0,0
   2850    33,5    1425     0,0
   2855    67,1    1428     0,0
   2860     0,0    1430     0,0
   2865     0,0    1433     0,0
   2870    67,1    1435     0,0
   2875     0,0    1438    67,1
   2880     0,0    1440    67,1
   2885     0,0    1443     0,0
   2890     0,0    1445     0,0
   2895     0,0    1448     0,0
   2900    33,5    1450     0,0
   2905     0,0    1453     0,0
   2910     0,0    1455     0,0
   2915     0,0    1458     0,0
   2920     0,0    1460     0,0
   2925     0,0    1463     0,0
   2930     0,0    1465     0,0
   2935     0,0    1468     0,0
   2940     0,0    1470     0,0
   2945     0,0    1473     0,0
   2950     0,0    1475     0,0
   2955     0,0    1478     0,0
   2960     0,0    1480     0,0
   2965     0,0    1483     0,0
   2970     0,0    1485     0,0
   2975     0,0    1488     0,0
   2980     0,0    1490     0,0
   2985     0,0    1493     0,0
   2990     0,0    1495     0,0
   2995     0,0    1498     0,0
   3000     0,0    1500     0,0
   3005     0,0    1503     0,0
   3010     0,0    1505     0,0
   3015     0,0    1508     0,0
   3020     0,0    1510    33,5
