25.10.2018   N1108
Образец: "Chinese_Precise"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2635     0,0    1319     0,0
   2640     0,0    1321     0,0
   2645     0,0    1324     0,0
   2650     0,0    1326     0,0
   2655    67,2    1328    33,6
   2660    33,6    1331     0,0
   2665     0,0    1333     0,0
   2670     0,0    1336     0,0
   2675     0,0    1338     0,0
   2680     0,0    1341     101
   2685    33,6    1343     0,0
   2690     0,0    1346    33,6
   2695     0,0    1348     0,0
   2700    33,6    1351    67,2
   2705     0,0    1353    33,6
   2710     0,0    1356    33,6
   2715     0,0    1358    33,6
   2720    33,6    1361    33,6
   2725     0,0    1363     0,0
   2730     0,0    1366    67,2
   2735     0,0    1368    67,2
   2740     0,0    1371     0,0
   2745    33,6    1373     0,0
   2750    33,6    1376    33,6
   2755     0,0    1378     0,0
   2760     0,0    1381     0,0
   2765     0,0    1383    33,6
   2770    33,6    1386     0,0
   2775     0,0    1388     0,0
   2780    67,2    1391    67,2
   2785     0,0    1393     0,0
   2790     0,0    1396     0,0
   2795     0,0    1398    33,6
   2800     0,0    1401     0,0
   2805     0,0    1403     0,0
   2810     0,0    1406     0,0
   2815     0,0    1408     0,0
   2820     0,0    1411    33,6
   2825     0,0    1413     0,0
   2830     0,0    1416     0,0
   2835     0,0    1418     0,0
   2840     0,0    1420     0,0
   2845     0,0    1423     0,0
   2850     0,0    1425    33,6
   2855     0,0    1428     0,0
   2860    33,6    1430     0,0
   2865     0,0    1433    67,2
   2870     0,0    1435     0,0
   2875    33,6    1438     0,0
   2880    33,6    1440     0,0
   2885     0,0    1443     0,0
   2890     0,0    1445     0,0
   2895     0,0    1448     0,0
   2900     0,0    1450    33,6
   2905     0,0    1453     0,0
   2910     0,0    1455     0,0
   2915    33,6    1458    33,6
   2920     0,0    1460     0,0
   2925    67,2    1463     0,0
   2930    33,6    1465     0,0
   2935     0,0    1468     0,0
   2940     0,0    1470     0,0
   2945     0,0    1473     0,0
   2950     0,0    1475     0,0
   2955     0,0    1478    33,6
   2960     0,0    1480     0,0
   2965    33,6    1483    33,6
   2970     0,0    1485     0,0
   2975     0,0    1488     0,0
   2980     0,0    1490     0,0
   2985     0,0    1493     0,0
   2990     0,0    1495     0,0
   2995     0,0    1498     0,0
   3000     0,0    1500    33,6
   3005     0,0    1503     0,0
